昵称,性别,地区,评论
bili_36163153045,保密,河北,整理在哪儿啊
---长歌---,保密,山西,[蹲蹲]
江临仙_,女,浙江,@极乐之魂 @伊蕾伊蕾伊_蕾蕾子 @丰川玩机器 @弄个名字真难啊 @无燚之举 晚安
逍遥道决,保密,湖北,让我猜猜你为什么打开宋浩的视频，期末周要来了是不是[doge_金箍]所以你看什么评论，给我看视频去😡
v-v1688,女,广东,这个可以用图形直接理解成，第一步算出“不含原点的区域面积”恒为零，“含原点的区域的面积”等于“小圆的面积”加“不含原点的面积”（小圆的面积近似理解为原点部分面积），“包含原点的面积”=“小圆”+“0”
骑着葱遛驴,保密,广东,o
是岁慕呀,保密,陕西,老师讲的好好
冰凉的豆浆,保密,江苏,🛏上看的
bili_24884881653,保密,江苏,2025-6.4完结撒花
霜月十六夜KMnO4,男,北京,有学理论力学或者日语的同学可以看看我的视频哦，带你做题的，视频也比较简短，可以关注三连支持一手嘛[初音未来_大笑][初音未来_大笑]
佐拉拉,男,陕西,[热词系列_知识增加]
略开略克,保密,广西,[蹲蹲][星星眼]
东方大东东,男,广东,妙啊妙啊
-特别元气-,女,陕西,宋老师如果是我的数学老师就好了
好柿豆花生ovo,保密,内蒙古,《弯的尽头就是直的》《哈哈哈哈笑死我了》[doge]我爱听宋浩老师讲课的原因，听他课一点都不累，家人们谁懂
月光下的蘑菇小仙子,保密,山东,有没有人知道宋老师的无穷级数这一章在哪啊[酸了][酸了]
bili_29322318714,保密,湖南,有没有人知道宋浩老师的利用对称性计算二重积分哪里又讲，之前看的时候好像看到过但是没做笔记，结果现在要用找不到了
房念,女,四川,快到期末周助力两亿哈哈[脱单doge]
Jstonnia,保密,四川,说服力极强[doge]
咖喱棒儿,保密,山东,[小电视_赞]
燊zi,保密,四川,@宋浩老师官方 在第二种情况算例题的时候，没有必要带入y*吧，前面化简出了R（x）和P(x)的关系式可以直接代入那个，计算量小很多
OKzdthxd,保密,上海,@芒果不加冰nn 好好学习[笑哭]
西南辛勤的玉竹,保密,广东,留着高考后就来看
忒乜爱格板,保密,河南,没想到有鬼畜哈哈哈
pxy042,男,河南,数学基础很差，但是考研还需要考高数，是想把这个看完还是直接看考研的课
跳射诠释美学丶,保密,山东,@是七倍哦
谄狐,保密,重庆,"被积函数是f(x,y)=1,这样柱体的高度恒为1，二重积分的结果，也就是体积，在数值上等于底面积"
霁明ジ,保密,湖北,助助眠也行
sologolia,保密,北京,宋老师，有个问题哈，常数项级数的概念那节14分半q=-1时，a-a+a-a那个是拉马努金极限，1-1+1-1一直加下去应该是二分之一，所以那边应该是二分之一a，级数应该存在
蘑菇菌超咸鱼,保密,安徽,三重积分，被积函数是5的话，5可以往外提，那么m=pV公式合理的诶
清本无忧,保密,重庆,谢谢老师！！
sherlocklg,保密,广东,有没有哪位师兄师姐给在下解惑[星星眼]
真的是小黑吗,保密,辽宁,学医的，纯小白。听第一课说Y≠Rf，因为Y中的值不见得都用得上，这个问题怎么理解。
小茨-,保密,山东,这里为什么是x+y
风度者也,保密,天津,高数下期中64分，再次感谢宋浩老师拯救我的高数[笑哭][打call]
訁名,保密,河北,我永远忘不了失眠起来看数学课的那个晚上
小蚂蚁与沙,保密,美国,加油
suuuuyar,保密,湖南,感谢宋老师[打call][打call]
MC_周某宇,男,湖南,离谱的播放量
我不在发射区孩子们,保密,江苏,马上两亿了
鬼才知道啦,保密,北京,孩子们结束了
卷卷眉和绿藻头,保密,四川,@宋浩老师官方 （求置顶）老师老师，你的那个高数上—乘系数非齐次线性微分方程课里的第二种情况没讲完呢，可以补个档吗@宋浩老师官方
A-16888,保密,天津,好
宇宙无敌忧郁暴龙兽,保密,河南,[吃瓜]
天天只想吃螺蛳粉,女,福建,感谢宋老师 明天期末考 高数再见
清尘剑,保密,江西,大四回来感谢宋浩老师
能天使在龙门,保密,广东,@杏ol 12:28
数国精品微积分,保密,河北,即将破2亿
人世几回伤往事_,保密,北京,[星星眼][星星眼][星星眼][打call][打call][打call]
蔚蓝升阳,男,福建,期中考喜提38，希望期末能过，保佑
具体效果吧,保密,河北,耳机没电啦
煎饼不加果子啊,男,山东,我滴妈，1.9亿的播放量[笑哭][笑哭][笑哭]
Just_1971666,保密,贵州,130个人
小北不难,男,黑龙江,在现场
Just_1971666,保密,贵州,猜错了呢哈哈哈哈哈就先入为主了哇
参考一下答案,保密,湖南,这里讲的这个公式在哪里可以看呢？
Mettingsochange,保密,山东,大佬们，这题可不可以这样做[大哭]
-ruin--,男,河南,快期末赶紧来补课[保卫萝卜_哭哭]
andyfan66,男,上海,第二题解的麻烦了，其实前面已经证明了e的指数项是可以消掉的。其实只需要代入多项式项就可以了。
泡腾片翻跟斗,女,江西,15：30
Melody丶刀芽子,女,河南,有人在2025吗
吉尔伯特诺赞,男,河北,1.9亿了，看看我考研笔试之前能不能破2亿（26考研）[鸣潮_好呀]
顾年最爱chloe,女,河南,什么是点火公式啊老师[委屈][委屈][委屈]
西噗lala,保密,江苏,这个留档是什么，是重新讲一遍对应的内容么
私晚,保密,福建,AV123366
皈言,保密,河南,新版是啥意思啊
李墨斋,保密,上海,场论在哪里看啊
黄耳折纸_关注必回,男,湖南,1.9亿播放
欣小萌新,保密,浙江,留档是什么意思啊
siwit,保密,广东,为啥最后一步h平方直接放前面了
晚风哇哈哈哈,保密,江西,我想知道有（留档）标志的和前面这种的知识点是一样的吗 只是再讲一遍吗 求解
红光留影,保密,上海,宋老师，你们当时镇上的高中不错啊
窝想不出名字了,男,广西,快破两亿了
彩虹吗我喜欢,男,陕西,b站大学名不虚传
无心ysz,男,江苏,那个通解 特解在哪里看啊
Mr_Fortune,保密,辽宁,正劈椎到底是前面的还是后面的呢。。。
维多利亚的德彪,男,陕西,1.9亿[哦呼]
Mr_Fortune,保密,辽宁,宋浩老师总是乐呵呵的，每节课的精神状态都这么好。
chris-chris-,保密,甘肃,[星星眼]
2512CUTE,保密,山东,？？？？幂级数那里不是说教我们先求导还是先求积分嘛，怎么直接没了
niき不配爱我ぢ,保密,湖南,那些留档的是干什么的
二方通行鹅鹅鹅,男,湖南,大专可以用吗？
兮无极-,保密,河南,讲到最后第12章，内容又臭又长，和以前的宋浩老师不一样了，从大一开学跟到大一快结课，真的很喜欢老师，但真喜欢不来后面的内容
旺仔光明之神,男,新疆,助眠开始[给心心]
欢乐洗浴羊,女,河南,方向导数这章太长了，看到时间就晕了
秋月_Atmgds,女,陕西,这课真有意思，讲着讲着就开始讲故事了，完全不困了[doge]
bili_27668979904,保密,河北,因为sint=x/a，可以将x/a看作一个整体y，化为y=sint，根据反函数，t=arcsiny
维什戴尔的传教士,女,上海,维什戴尔困死了，睡前放高数，绝对立刻睡着
嘛嘛嘛嘛la,保密,江西,后面的课是不是还没有更新啊
29500262307_bili,保密,四川,看宋老师的课不瞌睡
借北风浸满东楼,保密,广东,没考上大学[笑哭]但是丝毫不影响我继续学
Mr_Fortune,保密,辽宁,为什么只有宋老师这么无私的把课堂视频共享出来，慕课里的视频都是凑数的偷懒的视频。
bili_29873175773,保密,山东,[歪嘴]
疯狂的帝国,保密,内蒙古,最后边那个发散后面的！是啥意思啊
柚子帅鸽,女,江苏,女娲补天来了[笑哭]
星月舞2号,保密,四川,什么时候破2亿？
霜月十六夜KMnO4,男,北京,有学理论力学或者日语的同学可以看看我的视频哦，带你做题的，视频也比较简短，可以关注三连支持一手嘛[初音未来_大笑][初音未来_大笑]
iu终身幸福,保密,陕西,重合
iu终身幸福,保密,陕西,共线
iu终身幸福,保密,陕西,[doge_金箍][doge_金箍][doge_金箍]
xkdund,保密,湖南,16:08 开始
渐苒-,男,广东,宋老师的大电影真是太有趣了，根本看不过来[doge][doge]
南溪qazmlp,保密,甘肃,？叫华莱士公式？
生快生快乐,保密,江苏,在图书馆忍着，笑死我了
槐瓜养夏,保密,广东,最近搜高等数学时，为什么这个不会显示出来了
nlfd-ywzq,保密,陕西,留档是什么意思
水神一芙卡洛斯,保密,安徽,干到1.7亿了[doge_金箍]
朝无霞,男,江苏,变上限积分求导怎么做？
我不是机器人啊啊,女,江苏,我勒个傅立叶大电影
那一抹心火,保密,安徽,播放量1.9亿[打call]
吾铭试,女,广东,@蓝丝绸_ 必须让你看看这个
大蘑菇菇啊,女,广东,我去方向导数与梯度是在开玩笑吗
Ryougi_214,女,河南,@忧郁土豆ovo 快学
霜月十六夜KMnO4,男,北京,有学理论力学或者日语的同学可以看看我的视频哦，带你做题的，视频也比较简短，可以关注三连支持一手嘛[初音未来_大笑][初音未来_大笑]
泽泽泽泽泽泽泽泽_,男,北京,有没有通量和散度[大哭]
月胧怡,保密,河南,圆环避开零点，不要理解成相减，只是l取负方向;小圆不满足格林公式条件，用极坐标求积分
月胧怡,保密,河南,原题可以看成是含有原点的大区域积分后的结果减去含有原点的小区域积分后的结果，大区域的边界是L，而小区域则是l；注意大小区域都是含有原点的，所以方向都是逆时针。说白了两个逆时针为正向的区域相减
CWT呐,保密,北京,第二种怎么就不讲了😭
你是大傻瓜吖,男,陕西,"！
eiidjd，"
账号已注销,保密,广东,妙啊⎛⎝≥⏝⏝≤⎛⎝
着急见他,女,广东,1是哪里求得的
热血男娘哈哈哈,保密,湖南,考古[doge_金箍]
私は小鸟游ホシノの犬,保密,四川,有没有人知道，高数对计算机专业的重不重要啊
丹萱芷祺,保密,四川,有理函数积分，14:53的-2去哪了，后面那个积分为什么就直接是分之一了。
李佳琪_-,保密,四川,乐山师范李佳实名开卷[星星眼][星星眼]
库库林------白夜,女,宁夏,666
河南建院从来没有猫娘,男,河南,嗯，顺手证明了一下Q1+Q2=Q3和Q1+Q^C1=Q^C2。(右上，左下。)两无理数和既可能是有理数也有可能是无理数。设一个无限不循环小数a段循环，然后分层最差就能得出有理数和无理数两个结果。这样就可以证明周期性有理数无理数的符号函数最小正周期为大于零的最小有理数，也就是一个趋近于零的有理数所以最小正周期不存在了。
兰音Reine的老公,男,吉林,初中都没学好我来干嘛来了…给我推视频的同学出来！[勾檀收藏集表情包_气晕]
喜欢剪辑的浩浩,男,山东,那个分式算的时候为什么要加一然后前面乘个系数
上官龍9,保密,河南,[脸红]
imeetyoulight,保密,四川,9-5呢？
代号杰罗姆,保密,陕西,B站播放量最高的视频
醬貲,保密,云南,老版播放量都快2个亿了[doge]
兔尾巴团团,保密,江苏,B站播放量最多的视频，190，000，000+
涼月-,保密,安徽,[嗑瓜子]
观看效果,保密,山东,山东专升本高数二可以看这个吗
月胧怡,保密,河南,P和Q在这可以取-y和x，也就是说，这公式只要知道x，y的表达式就可以用这个公式求S
月胧怡,保密,河南,面积的那个公式是课本推到出来的格林公式的简单应用，当格林公式取p=-y，Q=x的时候，QP的偏导相减即为1，所以2∬dxdy=∮xdy-ydx
lxzw-,男,北京,@蒌蒿与河豚 请认真听讲
池泽春日,保密,北京,睡觉听简直太好睡了，超过市面上99%助眠音频
卢然谦初,保密,河南,考研数学看这个是不是也可以啊
秋月_Atmgds,女,陕西,看完一遍了，感谢老师[AG超玩会_老父亲]
人家的呢,男,北京,什么时候到两亿呀？
浮生无干--只思复旦,男,甘肃,抖音来的，才知道咱b站这么多人啊[笑哭][笑哭][笑哭][笑哭]
哔哩用户2939,保密,北京,今天是母亲节！
哔哩用户2939,保密,北京,FILA代言人宋浩老师
哔哩用户2939,保密,北京,请问高等数学不是微积分吗
剪月大王,男,重庆,重修期中考试前来复习[辣眼睛][辣眼睛]
沉寂的花期,保密,安徽,第七版的吗？[辣眼睛]
考拉戴礼帽,女,四川,看的头疼。。。
哈基米小,保密,广东,感谢宋浩老师，专升本已成功上岸公办！[打call][打call][打call]
我爱发财_,保密,湖北,明天考，宋老师保佑我过过过！[保佑][保佑][保佑]
SeaLeafUwU,保密,山东,跟着听了半天向量然后想起来自己学的版本的数学书没有这一节[抽象山海经_星球奶牛]
林昕禾,男,江苏,26：39开始讲行列式
虚潮信_CfmPhantide,男,湖北,666
宣开羊数学150冲冲冲,保密,河南,考研在看 ing
貂貂是永远的crash,保密,重庆,正劈锥体
向川葵葵,保密,江西,江西专升本怎么看呀，这个合集，有人知道吗
要活九十九,保密,湖北,53:28
要活九十九,保密,湖北,53:05
要活九十九,保密,湖北,53:03
我爱发财_,保密,湖北,希望这次考试一定要过[保佑][保佑][保佑]
飞鸿踏雪泥2024,保密,山西,有没有大佬帮忙解答一下，为什么答案是行向量，不应该是列向量吗，两个行向量怎么相乘为0
南瓜裂开了あ,男,湖北,考研看这个课可以不
石上三年0526,男,河南,二重积分以后听不懂啊
小华大大Ey,保密,广东,兄弟们，失眠了，凌晨三点起来看宋浩[大笑][大笑][大笑]
蘤怸鹽,保密,浙江,大家好啊，高数一节没听懂的我临近期末来补课了[撇嘴]有多少这样的（。
膏漾,保密,辽宁,兄弟们宋昊老师用白板笔讲的课是哪个课程不是用粉笔写的
独钓枫江雪,保密,天津,有人推荐大学物理以及电路的老师吗[委屈]
爱科学的航小王,保密,内蒙古,喜欢这样的课
冰马寒千里,男,江苏,一重提到二维，二重提到三维，三重提到四维，这种说法呢？
w数学zhen好玩,保密,江西,-t带入偏导公式，偏导求的是那条线的斜率是正的，lim前加个负号才能表示这条线上向下的方向，才是方向导的方向
烛殇魂,男,湖北,不是1.9亿播放量━━━∑(ﾟ□ﾟ*川━
哈尔滨佛教,保密,四川,哇袄！哇袄！哇袄！哇袄！哇袄！
Sheep_ppper,女,广东,真的不能给每节课分一下评论区吗[大哭]
QD高新区吴彦祖,保密,山东,干就完了
云岷1Fortune,男,四川,1.9亿的播放量，我靠！
西風北風,男,江西,第八章还是要多理解书上的内容，宋老师这个板块讲得有点意识流了[笑哭]
八月三十一日美音美,女,天津,P170    27:29
SoyleOzzz,保密,浙江,历久弥新
2025光遇琴谱,女,辽宁,今天还有人我直接爆🦌
马桶人奶奶族,男,广西,还有人吗
bili_81815099191,保密,湖南,300万多个评论
未入门,保密,安徽,一群捧哏的
骑猪去兜风uou,保密,广东,这个为什么是m叉乘n
天仙12了,保密,河南,[大哭]
绾堡堡,女,广东,专升本来学习了.
过家家就到此为止吧-,保密,河北,九-5怎么没有
今天学习math了没,保密,未知,"好好好，终于结束啦，完结撒花🎉[脱单doge]
感谢宋老师[给心心]
线性代数再见！"
八月三十一日美音美,女,天津,[超天酱表情包_昇天]
ljswjwazg,保密,美国,我来了
风与火的交响乐,保密,广东,这个播放量好可怕
绘己-三重之影,保密,辽宁,提前看提前学，循环课要是挂了就太丢人了[doge_金箍]
何故欲盖弥彰,保密,河北,五月二号还在卷的六十九个人出来！[doge_金箍]
凌沧海观蜃楼,保密,内蒙古,只有0.37<n<2.7时e^x>>x^n>>lnx成立，也就是最常取时取1/2，1，2时成立
喜旋记,保密,广东,唯一热度不减的视频[嗑瓜子]
吾心即明月,保密,山东,开卷 [支持][支持][支持]
根号2i的自然对数,男,河北,能不能出个数学分析2.0
维优,女,陕西,级数求和函数，左边是我写的，右边是标准答案。我积分常数算的两个都是0，比答案少了1怎么回事啊，中间过程没算错
--jin----,女,河北,点火公式在哪个视频可以看到讲解啊[脱单doge]
G大调第13号小夜曲,女,天津,@戴沐橘
戴沐橘,保密,黑龙江,点火公式是什么呀[蹲蹲][蹲蹲][蹲蹲]
journeyaaaaa,男,重庆,好好学习，天天向上
利威尔的妻,女,重庆,加油
喜多捞面的线面,男,福建,@RiduFJK
挣钱l,保密,福建,电子讲义可以分享一下吗
缪淼敏慜,保密,浙江,"07:24 点火公式在二重积分极坐标中用到的
07:22 点火公式"
十一siya,女,浙江,2025.04.28，期中考了48分，自己接受不了，遂来学习。
予尚果,男,吉林,军士专转本考试前来学习
神佑西宫,保密,浙江,连续与极限
世界这么大hhj,保密,河南,[兔年]
莲子清如水Vet,保密,天津,文科生前来朝圣了，什么时候都有人看的含金量
寻呐名字难起,保密,河南,确实不错，小弟膜拜膜拜[星星眼][星星眼][星星眼]
何故欲盖弥彰,保密,辽宁,早八不听课听宋浩[脱单doge][doge_金箍][doge]
缪淼敏慜,保密,浙江,35:06 这里的点火公式是宋老师的哪个视频有讲到啊？
エレナ-Elena-伊蕾娜,女,江西,[脱单doge]
幻境创世者,男,湖北,这是第7版的吗
想摸鱼xfhhhhhh,保密,广东,1.9亿，快2亿了
江上酒ZH,男,山东,这属于高数几啊 是高数一吗
灯火醉流年,保密,山东,宋老师，我现在高二下学期，学的物化生，现在能考400分左右，有机会在高考前提到570吗
-俩阵晚风-,男,甘肃,那个例子是平面啊？这节不是对曲面吗？[我独自升级_疑惑][我独自升级_疑惑][我独自升级_疑惑]
氢氦锂铍硼hp,男,山东,[热词系列_谢谢老师]
网友天顺子,女,上海,半小时后考试笑死
可爱的小惊涛,男,广东,明天期中，赢！[千恋万花动态表情包_哇]
幻境创世者,男,湖北,第7版的能用吗
南宁最深情的男人,保密,广西,666
千怀寻英,保密,上海,播放量之神
百闻不如一见64,保密,北京,感觉讲的很容易理解，我们课本上一堆定义
她的霓裳,保密,河南,为啥没有二元函数的全微分求积啊
天邪龙王手法信仰玩家,男,广东,最高播放的视频吗？有点意思[笑哭]
根号2i的自然对数,男,河北,别乱刷弹幕了[生气]
聿樟,保密,江西,用大专教材能看这个吗
老_绅_士_,男,江苏,救赎之道，就在其中
啦啦卜啦,女,贵州,宋老师的课你们是边听边记笔记吗？还是跟着书看着听呀？我选教材买的是库课的教材，但是他的课比较乱，然后不怎么完整。然后我就重新找课找到了宋浩老师，我现在手上的这本教材他的内容都有但是他对应宋老师的讲解顺序不一样，所以我不太懂是自己拿个本子重新跟着老师的顺序再捋一遍还是先听听完之后在书上找对应的内容去复习呢？？？求解答[蹲蹲][蹲蹲][喜欢][喜欢][喜欢]
bili_45570410013,保密,河南,谁
雨齐霁夜茶,保密,辽宁,https://www.bilibili.com/video/BV1Eb411u7Fw?t=297.8&p=116
根号3i的自然对数,保密,河北,x与y
w数学zhen好玩,保密,江西,中间变量含有最终变量 就用偏f
-洛羲-,保密,山东,"   ======学习笔记======
未看：
-----------------标记-------------------
第5章 · 定积分：54
0..."
柔柔大王6,保密,四川,我想问一下护理专业专升本，我以为高等数学就是一科，但是这个老师说就去学微积分，有没有学姐学长懂得给我解答一下
寡人要去睡了啊,保密,江苏,宋老师要来我们学校开讲座了，我却因为要上高数课去不了[委屈]
诗闲李白,男,云南,WC，马上2亿了
月胧怡,保密,河南,注意：按照同济大学课本顺序，可以先看后一p再来这里！
月胧怡,保密,河南,就是把梯度那个向量变成单位向量是吗
月胧怡,保密,河南,梯度是向量，方向导数是梯度的方向也就是单位化，方向导数是该方向梯度大小，同方向就是梯度的模
竹zhu叶,保密,北京,2025年考古人[doge_金箍]
香菜-泡面,保密,辽宁,留档那些课是什么呀
小力niu,保密,浙江,咋没有柱面坐标法
背带裤2号,保密,江西,现在还有人吗
唯物主义起名字,男,陕西,西北农林科技大学集合[打call]
在下孰薛秋实,保密,黑龙江,原来的全微分和新的有什么区别呀
bili_64969017808,保密,陕西,华莱士，点火公式在哪看啊，没找到啊[大哭][大哭][大哭]
巅峰孙,保密,山东,只要学不死，就往死里学[脱单doge][脱单doge]
WanngX,保密,四川,[doge_金箍]
哈哈分我吃了,男,吉林,考研的话只听这能到什么程度，有懂的吗？
ntdmzp,男,日本,tnk
ntdmzp,男,安徽,hdj
ntdmzp,男,安徽,[打call]
星尘艺术家,男,内蒙古,我内大杨博俊实名开卷
bili_38178329743,保密,上海,为什么不说直接就是求导直接就是f（x）是和不定积分一个道理吗
啊这__-__,保密,甘肃,[热词系列_赛博考古]
月胧怡,保密,河南,偏导的结果是一个向量，这一个曲面的切线有无数条，所以偏导肯定不是切线，当法线记着先
月胧怡,保密,河南,现在只有一个函数F，三个变量x，y，z所以对x求偏导的时候z要看做无关量，所以z求偏导后就是0
肖肖的啵啵呀啊,保密,河南,凌晨两点半失眠，想着大家说听高等数学催眠，就来搜搜看，结果发现有34个人在同时看[疑惑]，很好奇这个点还这么多人学习吗？不至于都是跟我一样睡不着的吧
一只可爱的蓝色史莱姆,男,河南,夺少？1……1.9亿！
月胧怡,保密,河南,就比如说一条线，t的增大方向就是向右的，始终不变，因为是增大方向，当derta t小于0 的时候自然和t增大的方向相反。
南遥北,保密,四川,最后T不应该是-1 0 1 吗
古德拉克n,保密,安徽,言简意赅
秋叶舞风殇,保密,山东,专升本考数1也看微积分吗
_HeLz,男,广东,[热词系列_知识增加][热词系列_谢谢老师][热词系列_三连]
立冬非雪,男,广东,y'' + 3y' + 2y=1/(eˣ+1)那这种题的λ怎么算呢，有人会吗
我亦无他惟手熟尔,男,湖南,@僵尸鱼是姜不是鱼_
小小杜同学-,保密,江苏,看宋浩的高数课，期中100，期末98[歪嘴]。说实话…我真的很想上课学一点真正的东西，为什么大学老师课上那么敷衍啊[大哭][大哭][大哭]，感觉课上听老师的，课下再听宋浩，好累。
MagneticPole,保密,广西,老师您是我一辈子的恩人，虽然我数学成绩还是很差，但是如果没有您，我10000%要挂科
火亓灵,保密,江西,现在要专升本的学生也是专门看微积分嘛？
我是皮皮虾大怪,保密,福建,谢谢老师
hhwawa,保密,江苏,"1.9亿播放这条评论100,000点赞怎么样？[吃瓜]"
天狼星期一休息了,保密,福建,快快快快
数国精品微积分,保密,河北,"我建议屏蔽""卷"""
拒绝被骂99次,男,河北,秒啊
小狼Lzzz,保密,青海,1.9亿播放量了啊，10亿指日可待
lysz老九,保密,山东,在那个逆映射里面是不是有个小错误，应该是都有唯一的f(y)＝x[嗑瓜子][嗑瓜子][嗑瓜子]
3546728710015248,保密,安徽,@awa昴desu 陪我学
取个什么名字才通过啊,保密,贵州,帮帮我
江绪媛,保密,湖北,感谢
某诺同学016866,保密,河南,问一下有第十章以后的课吗👀
一盏灯一,女,陕西,有大哥帮忙解释一下，为啥我写的这个过程是哪个环节出问题了，
双杯奶盖,保密,河南,好难，好想打王者荣耀
_豆豉_,保密,江苏,考研又回来找宋浩老师了。
在更新超负荷,保密,四川,"我不允许还有人没看过宋浩老师的爱情故事
【宋浩老师的恋爱故事。一开口就是17年    白头并非雪可替，相识已是上上签”。-哔哩哔哩】 https://b23.tv/i41Tyba"
李羡木子,保密,重庆,专升本适合听吗
栀吱枝,保密,内蒙古,dx为什么等于2tdt
则则称奇,男,山东,老师为什么三阶行列式不用十字架法做啊，这样更简单还不容易出错
爱繁华梦幻,女,江苏,这个高等数学课和现在要考的一不一样，我是一名2025届江苏的大专生，想专转本，可以用这个学吗？
Echojxbs,男,河南,考研可以看吗
diwinedevil,保密,广东,我有26年wang盘，免费share分享，想要的私
超级无敌猫猫侠捏,女,山东,适用于高数二吗
-_Judy-_,保密,江苏,@-正义de伙伴-
小dio猫,保密,安徽,二重积分-极坐标在看
濯缨之浪1,保密,陕西,F是xyz的函数，a，b，c，都是t的函数，就是偏F比偏X乘da比dt，以此类推然后，你会发现，da比dt，就是曲线切向量，而你把偏导的那三个看成一个向量的三个坐标，就满足向量积为0，即垂直切向量，所以他是法向量
濯缨之浪1,保密,陕西,利用一个方程时隐函数求导公式，同除-Fx，得到（-1，Xy，Xz），x＝x0时切向量为（0，Yx，Zx），相乘为0，说明垂直。y＝y0同理。说明（Fx，Fy，Fz）垂直法平面是什么意思啊
欸想个名字吧,保密,重庆,怎么知道什么时候用拉格朗日函数什么时候不用
yves芙芙日记,保密,江苏,@Sueyy_
手持熙宝宝,保密,江西,例五不就是线性代数的求法吗[星星眼]
清风bbhu,男,广东,宋浩老师我爱你
平觞,保密,江苏,我想请问一下1➕sin2x不就是大于等于0的吗？（因为sin2x值域是【-1，1】那1加，不就是【0，2】吗）那开出来肯定也是大于等于0的呀，
bili_92792884440,保密,山东,为什么 a 能取 2 分之和四分之呀
Loyclesioes_,保密,江苏,@白与貘
Loyclesioes_,保密,江苏,@EZ4XLlL [笑哭]
猪脑过载了abc,保密,湖南,999
-_zz-_,男,湖北,高数上期末93[捂眼]
膨胀螺丝厽,保密,山东,专升本适合看这个吗[大哭][大哭][大哭]
ABCDEFGHIGKL,保密,山东,二分之三不是常数吗
八原的怪猫,保密,湖南,1.9 亿播放量，我的天[笑哭][笑哭]
某科学的妮可子,保密,上海,[星星眼]
__Lumen__,保密,河北,谁能告诉我，高数下册的曲面积分和无穷级数在哪里看宋老师的呀
普瑞赛丝,保密,山东,问一下二重积分的对称性和奇偶性在哪节课啊@[笑哭]
cosinee_e,男,江苏,@鏡中花酒
达克罗宁才看到,保密,山东,虽然但是，宋老师对不起
狮子座的口是心非,男,湖南,人类文明的瑰宝
齐物应帝王,保密,山东,宋浩老师我最终还是来到了这里，拼尽全力无法战胜，高数破大防
筱瞳不想歪,保密,吉林,全都不会写[颂乐人偶_眯眼笑][颂乐人偶_眯眼笑][颂乐人偶_眯眼笑]
wusbsdn,保密,黑龙江,学校讲到第10章了，现在我学到了第三章，记录一下
B站青春励志馆,保密,湖北,如果宋老师可以为我们画出四维空间，那我们就全懂啦[打call]
WUWANG85477,保密,福建,梦开始的地方[吃瓜]
为你揽天,保密,河南,@青柠小炒肉 [委屈]
y-GqqQ,保密,山东,9.5节呢9.5节呢？？？？？
E费叔,保密,安徽,暂停看到的[笑哭]
bili_30499112481,保密,贵州,经管的差分方程在哪啊[大哭]
无-一-,女,陕西,@元一玄
kong-空,男,安徽,老师是什么平板
Khitt-,保密,山东,"且看我的，根据定义曲线左边方向是他围成的积分区域，而小圆的线是逆时针的话围城的区域就是里面的小圆圈
然后看右上公式，下面大圆减小圆等价于圆环=Pdx+Qdy公式右边，公式左边也算的是圆环而圆环用格林公式=0所以右边=0"
zsdfrthhvj,女,江苏,大一晚自习奖励自己玩手机，看宋老师2小时课
为什么名字不能太长_,保密,江苏,曲率相关的在哪一节啊，找不到了
NorthNone,保密,山东,"有没有大神解答一下：
  这个题目中，由题意可知z是关于x，y的函数。
  那么求F关于x的一阶偏导数时为什么把z看成了常数，但是求二阶偏导数的时候反而把z看成了关于x的函数"
重情义的左口鱼,保密,云南,所以方程组的类型该用什么方法求啊
笛梵白,保密,湖南,为什么法向量方向和梯度方向一样的呀🤔
吾心曜曜,保密,辽宁,伟大，无需多言
十三月来信,男,山东,宋浩老师大学校友
笑动万叶鸣,保密,湖北,[doge_金箍]
若闻我爱,保密,安徽,有没有大佬可以看看这个题，我的疑问是在第三张图里
若闻我爱,保密,安徽,大佬们图1一定要写成2rcos吗 不能写成2r吗 为什么呢
菲利普产业,女,湖南,常系数啥啥方程
温霖不吃早饭,女,天津,0:26:03
午时黄昏,男,青海,老师我想问一下，为什么齐次方程一定是y/x的形式[奥比岛_委屈]
-豌豆炮-,男,江苏,感谢宋老师
那我可不困了啊,保密,甘肃,"第一个求ak的不要问∫(-π，π)  ao/2 * coskx dx哪里去了，这个等价于ao/2 *∫(-π,π) * 1*coskx dx了在三角系里1*coskx是0[doge_金箍]翻翻书"
窗外落下的花,女,湖南,隐函数理论上可以写成显函数形式，所以求z的二阶偏x导数时，z不能被看作是常数，而应该看作x的函数。这种理解对吗？
无情的紫罗兰,保密,河北,这里的x趋于无穷是不是错了
清冬伴秋风,保密,安徽,幽默细胞免疫
Loyclesioes_,保密,江苏,@EZ4XLlL @_旧颜_86 @唯有杜康w @平凡小花菜 @终焉的旅途 @白与貘 @随便urnd @一杯凉白开orz [喜欢][喜欢]好好学习
小孩不爱我爱,保密,江西,感谢老师！
z红红火火恍恍惚惚z,保密,广西,@我死在了记忆 牢大别卷了
hillliao,保密,广东,"符号：X, x, Y, y, f, Df, Rf 
1. 映射三要素：X，f, Rf
29:08 

2. x属于X，y是唯一。
Rf 包含于Y，Y有些元..."
意逐x,保密,湖南,273个好兄弟[吃瓜]
wwwv我648,保密,天津,我嘞个豆快两亿了
小小洋讲几个数学题,女,湖南,优秀
-zjy6,女,河北,老师，求求了，去学大学物理吧，物理需要你[tv_大哭][tv_大哭][tv_大哭]
